,about,abv,apparence_avg,apparence_med,aroma_avg,aroma_med,beer_style,beer_url,brewer,est_cal,ibu,name,overall,overall_reviews,overall_reviews_med,palate_avg,palate_med,photo_url,rating_num,score,style,taste_avg,taste_med
0,No description available,6.0%,,,,,Spice/Herb/Vegetable,https://www.ratebeer.com/beer/born2brew-pumpkin-jam/621566/,Born2Brew,180,-,Born2Brew Pumpkin Jam,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_621566",Ratings,-/5,-,,
0,No description available,7.0%,,,,,Smoked,https://www.ratebeer.com/beer/botto-bier-feiticeira/81656/,Botto Bier,210,-,Botto Bier Feiticeira,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_81656",Ratings,-/5,-,,
1,No description available,9.0%,4.2,4.0,6.8,7.0,Doppelbock,https://www.ratebeer.com/beer/botto-bier-thor/81849/,Botto Bier,270,-,Botto Bier Thor,-,16.2,16.0,3.6,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_81849",5,3.41/5,-,7.0,7.0
2,No description available,6.0%,,,,,Sweet Stout,https://www.ratebeer.com/beer/botto-bier-vidua-negra/81655/,Botto Bier,180,-,Botto Bier Vidua Negra,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_81655",Ratings,-/5,-,,
3,"Cerveja do Mestre Cervejeiro Leonardo Botto para comemorar o nascimento do seu filho Vinícius. A Zoontje ficou super maltada, melanoidina e caramelo chamam a atenção no aroma e sabor, num misto de uma american amber ale, uma english IPA, uma belgian dubbel ou até uma bock (viagem). O amargor é persistente e fino, bastante pra equilibrar o dulçor dos maltes e ainda aparecer no final, nem parecendo conter seus cerca de 51 IBUS, aqui já lembrando mais uma english IPA. Aromas cítricos dos lúpulos, tangerina, aparecem, não na intensidade das American IPAs, mas estão lá contando história. E o fermento…., bem, o fermento White Labs 500, trappist ale, é reconhecido como sendo o mesmo da Chimay Grand Reserve.",6.6%,3.857142857142857,4.0,7.571428571428571,8.0,Belgian Strong Ale,https://www.ratebeer.com/beer/botto-bier-zoontje/191727/,Botto Bier,198,51,Botto Bier Zoontje,-,15.857142857142858,16.0,3.7142857142857144,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_191727",8,3.56/5,-,7.714285714285714,8.0
0,"The Cintra beer is a pilsener type of beer with a golden shinning color. It is a refreshing, less filling, dry beer with an intense taste and low caloric level. Its aroma is slightly fruity with hints of malt balanced with Hallertauer premium hops. Its foam is white, creamy with a medium sustainability. The alcoholic content is moderate, thus its freshness and less filling taste yield moments of pleasure one after the other.",4.7%,2.1,2.0,2.8,3.0,Pale Lager,https://www.ratebeer.com/beer/cintra-pilsen/3431/,Brasil Kirin,141,-,Cintra Pilsen,1,5.4,5.5,1.7,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_3431",82,1.80/5,20,3.1,3.0
1,No description available,4.4%,1.8,2.0,2.3,2.5,Pilsener,https://www.ratebeer.com/beer/glacial/76508/,Brasil Kirin,132,-,Glacial,1,5.5,5.0,1.6,1.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_76508",15,1.77/5,1,2.6,2.0
2,No description available,0.5%,2.142857142857143,2.0,3.7142857142857144,4.0,Low Alcohol,https://www.ratebeer.com/beer/nova-schin-cerveja-sem-alcool/32380/,Brasil Kirin,15,-,Nova Schin Cerveja Sem Álcool,-,7.142857142857143,7.0,1.8571428571428572,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_32380",7,2.21/5,-,3.4285714285714284,4.0
3,Formerly Schincariol Malzbier,4.3%,3.1,3.0,3.6,3.0,Schwarzbier,https://www.ratebeer.com/beer/nova-schin-malzbier/13217/,Brasil Kirin,129,-,Nova Schin Malzbier,2,6.6,5.0,2.2,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_13217",15,1.91/5,0,3.6,3.0
4,Formerly Schincariol Munich,4.7%,3.2,3.0,4.8,5.0,Dunkel/Tmavý,https://www.ratebeer.com/beer/nova-schin-munich/10452/,Brasil Kirin,141,-,Nova Schin Munich,16,9.6,9.5,2.6,2.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_10452",44,2.62/5,15,4.7,4.5
5,Flavoured with tequika and lime. Limited edition.,4.7%,1.6,2.0,2.4,2.0,Fruit Beer,https://www.ratebeer.com/beer/nova-schin-ns2/68069/,Brasil Kirin,141,-,Nova Schin NS2,-,4.8,3.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_68069",5,2.08/5,-,1.8,2.0
6,"E se voce sentisse um efeito refrescante que nunca sentiu? Pra isso. Voce precisa beber a Nova NS2 Black Mint. A mistura de cooling, menta e cerveja que vai refrescar sua vida. NS2 Black Mint e a bebida prara quem quer sair da rotina, que questiona ate o inquestionavel. Por exemplo, e se ao inves de voce se atirar na piscina, a piscina se atirasse em voce? E se os pinguins ficassem em cima das pessoas e nao das geladerias? E se voce tomasse uma NS2 Black Mint?",4.7%,2.0,2.0,5.0,5.0,Fruit Beer,https://www.ratebeer.com/beer/nova-schin-ns2-black-mint/105427/,Brasil Kirin,141,-,Nova Schin NS2 Black Mint,-,10.0,10.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_105427",1,2.70/5,-,5.0,5.0
7,No description available,-,2.5,2.5,3.0,3.0,Amber Lager/Vienna,https://www.ratebeer.com/beer/primus-chopp-escuro/32388/,Brasil Kirin,-,-,Primus Chopp Escuro,-,7.0,7.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_32388",2,2.20/5,-,3.0,3.0
8,No description available,4.7%,2.5,3.0,3.0,3.0,Pale Lager,https://www.ratebeer.com/beer/primus-pilsen/33343/,Brasil Kirin,141,-,Primus Pilsen,5,6.8,6.0,2.5,2.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_33343",18,2.06/5,45,3.7,3.5
9,Bottle & can; Pasteurised. Nova Schin has replaced Schincariol Pilsen a 4.9% lager brewed since 1989. Renamed later to Schin. This is Brazil’s fastest growing brand with 13% of the market. Sponsors of Carnival for several years.,4.7%,2.3,2.0,3.5,3.0,Pale Lager,https://www.ratebeer.com/beer/schin-cerveja-pilsen/10453/,Brasil Kirin,141,-,Schin Cerveja Pilsen,1,6.6,6.5,2.2,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_10453",108,1.77/5,17,3.7,3.0
10,"Schin No Grau é uma cerveja equilibrada e gostosa. O produto tem forte presença no mercado cervejeiro do nordeste, norte e centro-oeste, já que foi pensado para esse público. Após muitas pesquisas de mercado para entender a necessidade do consumidor nessas regiões, chegou-se ao sabor leve, com teor alcoólico suave e equilíbrio entre corpo e amargor. Cerveja tem que ser Schin No Grau: no ponto, na medida certa e do jeito que a gente gosta. Com Schin No Grau a festa não para, a diversão não para!",4.4%,2.4,2.0,3.2,3.0,Pale Lager,https://www.ratebeer.com/beer/schin-no-grau/273855/,Brasil Kirin,132,-,Schin No Grau,-,6.2,6.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_273855",5,2.22/5,-,3.2,3.0
0,No description available,4.8%,3.4,3.0,5.5,5.5,Amber Lager/Vienna,https://www.ratebeer.com/beer/biritis-vienna-lager/250346/,Brassaria Ampolis,144,-,Biritis Vienna Lager,56,13.3,14.0,3.1,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_250346",18,3.19/5,96,6.3,6.5
1,No description available,-,3.0,3.0,6.5,6.5,Witbier,https://www.ratebeer.com/beer/brassaria-ampolis-ditriguis/415172/,Brassaria Ampolis,-,-,Brassaria Ampolis Ditriguis,-,14.0,14.0,3.5,3.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_415172",2,3.05/5,-,6.0,6.0
2,"A cerveja artesanal Cacildis é mais do que uma homenagem ao humorista Mussum, é uma cerveja puro malte de grande qualidade, leve, refrescante e fácil de beber, perfeita para o nosso clima! Dourada, de boa espuma e líquido cristalino, apresenta aromas de miolo de pão vindos do malte e frescor floral vindo do lúpulo. No paladar, a cerveja sacia a sede com prazer, pedindo mais um gole. Excelente para qualquer ocasião!",5.0%,2.6666666666666665,2.0,5.111111111111111,4.0,Premium Lager,https://www.ratebeer.com/beer/cacildis-premium-lager/309664/,Brassaria Ampolis,150,-,Cacildis Premium Lager,20,12.0,11.0,2.6666666666666665,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_309664",17,2.74/5,49,5.111111111111111,5.0
0,"Cerveja de trigo belga com sementes de coentro, casca de pomelo, laranja, semente de coentro, casca de pomelo, laranja, zimbro, e limão siciliano.",5.5%,3.0,3.0,7.0,7.0,Witbier,https://www.ratebeer.com/beer/brauns-wit/307352/,Brauns Bier,165,18,Brauns Wit,-,11.0,11.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_307352",1,2.96/5,-,7.0,7.0
0,No description available,4.7%,2.0,2.0,6.0,6.0,Czech Pilsner (Světlý),https://www.ratebeer.com/beer/brotas-beer-pilsen/347687/,Brotas Beer,141,-,Brotas Beer Pilsen,-,12.0,12.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_347687",1,2.89/5,-,6.0,6.0
1,"Cerveja artesanal produzida em Brotas, região central do Estado de São Paulo, que se destaca no turismo nacional pela qualidade de suas águas. A Cerveja Brotas Beer é resultado da união dos melhores maltes e lúpulos, com a pureza dessas águas. Cerveja escura encorpada, de aroma tostado e com notas de café.",4.5%,3.5,3.5,6.5,6.5,Stout,https://www.ratebeer.com/beer/brotas-beer-stout/200205/,Brotas Beer,135,-,Brotas Beer Stout,-,11.5,11.5,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_200205",2,2.82/5,-,6.0,6.0
2,No description available,4.3%,2.0,2.0,6.0,6.0,German Hefeweizen,https://www.ratebeer.com/beer/brotas-beer-weiss/347689/,Brotas Beer,129,-,Brotas Beer Weiss,-,12.0,12.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_347689",1,2.89/5,-,6.0,6.0
0,No description available,4.0%,2.6666666666666665,3.0,5.333333333333333,6.0,American Pale Ale,https://www.ratebeer.com/beer/cerveja-bruge-ale/77824/,Bruge Cervejaria Ltda.,120,-,Cerveja Bruge Ale,-,9.666666666666666,9.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_77824",3,2.69/5,-,5.0,5.0
1,No description available,5.5%,2.0,2.0,5.333333333333333,5.0,Premium Bitter/ESB,https://www.ratebeer.com/beer/cerveja-bruge-bitter-ale/77825/,Bruge Cervejaria Ltda.,165,-,Cerveja Bruge Bitter Ale,-,7.666666666666667,7.0,2.6666666666666665,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_77825",3,2.42/5,-,4.666666666666667,5.0
2,No description available,3.2%,2.5,2.5,3.25,3.5,Stout,https://www.ratebeer.com/beer/cerveja-bruge-stout/77823/,Bruge Cervejaria Ltda.,96,-,Cerveja Bruge Stout,-,6.25,6.0,1.75,1.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_77823",4,1.97/5,-,2.75,2.5
0,No description available,4.6%,2.0,2.0,5.0,5.0,American Pale Ale,https://www.ratebeer.com/beer/buffalo-apa/430243/,Buffalo Beer,138,-,Buffalo APA,-,10.0,10.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_430243",1,2.81/5,-,4.0,4.0
0,"American Pale Ale de respeito com muito aroma cítrico proveniente do Dry Hopkins com toques florais. Fabricada em Nova Friburgo, no Parque dos Três Picos de Salinas",6.0%,3.0,3.0,7.0,7.0,American Pale Ale,https://www.ratebeer.com/beer/cabeca-de-dragao-mountain-jam/629300/,Cabeça De Dragão,180,-,Cabeça De Dragão Mountain Jam,-,13.0,13.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_629300",1,3.00/5,-,7.0,7.0
0,No description available,6.0%,,,,,Black IPA,https://www.ratebeer.com/beer/camale-american-black-ipa/568986/,Camale Brewery,180,60,Camale American Black IPA,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_568986",Ratings,-/5,-,,
1,"Uma cerveja de coloração cobre avermelhada, com uma carga turbinada de lúpulo (8 gramas de lúpulo por litro na cerveja).",6.5%,5.0,5.0,9.0,9.0,India Pale Ale (IPA),https://www.ratebeer.com/beer/camale-shock-ipa/396307/,Camale Brewery,195,70,Camale Shock IPA,-,17.5,17.5,4.5,4.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_396307",1,3.13/5,-,8.5,8.5
0,No description available,-,,,,,Bitter,https://www.ratebeer.com/beer/chopp-terapia-bitter/152500/,Cantina do Toco,-,-,Chopp Terapia Bitter,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_152500",Ratings,-/5,-,,
1,No description available,5.5%,,,,,Golden Ale/Blond Ale,https://www.ratebeer.com/beer/chopp-terapia-golden-ale/152501/,Cantina do Toco,165,-,Chopp Terapia Golden Ale,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_152501",Ratings,-/5,-,,
2,"Cerveja de trigo tipo ale, com corpo leve ecor dourada clara. Harmoniza muito bem com frutos de mar.",4.9%,3.0,3.0,6.0,6.0,Kölsch,https://www.ratebeer.com/beer/chopp-terapia-kolsch/152304/,Cantina do Toco,147,-,Chopp Terapia Kölsch,-,14.0,14.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_152304",1,2.98/5,-,6.0,6.0
3,No description available,-,,,,,Amber Ale,https://www.ratebeer.com/beer/chopp-terapia-red-ale/152502/,Cantina do Toco,-,-,Chopp Terapia Red Ale,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_152502",Ratings,-/5,-,,
0,"INGREDIENTES ÁGUA, MALTES DE CEVADA E DE TRIGO, LÚPULO E LEVEDURA. CARACTERISTICAS CERVEJA DE CORPO MÉDIO-LEVE E REFRESCANTE COLORAÇÃO ÂMBAR CLARO COM ESPUMA BRANCA E CREMOSA AROMAS INTENSIFICADOS PELO GOSTO FRUTADO, COM LEVE PRESENÇA DO MALTE PARA BALANCEAR O AMARGOR, PROPORCIONANDO UMA ALTA DRINKABILTY. HARMONIZA COM MÚSICA AO VIVO, AO AR LIVRE, CLIMA DESCONTRAÍDO E HAMBÚRGUER COM CHEDDAR E BACON. EBC14 IBU35 5,2%ABV",5.2%,4.0,4.0,6.0,6.0,American Pale Ale,https://www.ratebeer.com/beer/caravan-american-pale-ale/489702/,Caravan Beer,156,35,Caravan American Pale Ale,-,13.0,13.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_489702",1,3.00/5,-,7.0,7.0
1,"Corpo leve, refrescante. Debaixo de sua espuma branca e cremosa, o que todo pioneiro busca na sua jornada: o ouro. Nessa viagem, o aroma de frutas cítricas, principalmente tangerina, vem acompanhado do delicado aroma frutado e floral. Na boca, os aromas se completam com o gosto frutado e final seco, pedindo mais um gole.",4.5%,3.0,3.0,7.0,7.0,Amber Ale,https://www.ratebeer.com/beer/caravan-summer-ale/481327/,Caravan Beer,135,30,Caravan Summer Ale,-,13.0,13.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_481327",1,2.98/5,-,7.0,7.0
2,"Corpo médio-leve, com final seco e amargor intenso. Coloração amarela, espuma branca e cremosa. O aroma extremamente intenso é resultado do abuso no lúpulo. Traz notas de frutas cítricas e tropicais, como grapefruit, limão, abacaxi, maracujá e papaya. Os aromas se completam pelo gosto frutado. O malte fica em segundo plano,dando a vez para os lúpulos brilharem. Para balancear o amargor, um fim seco, pedindo um próximo gole. Ingredientes: água, maltes de cevada e de trigo, lúpulo e levedura.",7.1%,4.0,4.0,8.0,8.0,India Pale Ale (IPA),https://www.ratebeer.com/beer/caravan-west-coast-style-ipa/471691/,Caravan Beer,213,70,Caravan West Coast Style IPA,-,15.0,15.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_471691",1,3.11/5,-,8.0,8.0
0,No description available,-,3.0,3.0,5.0,5.0,India Pale Ale (IPA),https://www.ratebeer.com/beer/casa-da-cerveja-potiguar-cajuipa/573039/,Casa da Cerveja Potiguar,-,-,Casa da Cerveja Potiguar CajuIPA,-,12.0,12.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_573039",1,2.92/5,-,6.0,6.0
1,Mangaba Belgian Blond Ale. Uma cerveja com um toque regionalíssimo proporcionado pela Mangaba.,6.5%,4.0,4.0,9.0,9.0,Belgian Ale,https://www.ratebeer.com/beer/potiguara/586070/,Casa da Cerveja Potiguar,195,20,Potiguara,-,15.0,15.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_586070",1,3.13/5,-,7.0,7.0
0,"Cerveja Puro Malte da mesma forma que o Brasil encantou o Velho Mundo ao ser descoberto pelos portugueses, esta bebida exótica, de coloração dourada, encanta os mais exigentes apreciadores de cerveja. Em homenagem ao ano em que o Brasil foi descoberto, criamos 1500, uma cerveja Premium, agradavelmente encorpada, feita com ingredientes importados selecionados e o mais puro malte. http://www.facebook.com/1500puromalte",4.7%,3.111111111111111,3.0,5.0,5.0,Premium Lager,https://www.ratebeer.com/beer/1500-cerveja-puro-malte/194534/,Casa de Conti,141,15,1500 Cerveja Puro Malte,19,10.333333333333334,10.0,2.6666666666666665,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_194534",9,2.77/5,56,5.777777777777778,6.0
1,No description available,4.7%,2.5,2.5,3.75,3.5,Pale Lager,https://www.ratebeer.com/beer/burguesa/440379/,Casa de Conti,141,-,Burguesa,-,7.5,8.0,2.25,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_440379",3,2.66/5,-,4.5,4.5
2,"A Conti Malzbier é uma cerveja tipo escura, com sabor e aroma levemente adocicados, encorpada, cp, espuma consistente e médio teor alcoólico(4,0% vol,). Seu sabor diferenciado satisfaz os paladares mais exigentes e é excelente para quem gosta de sabores alternativos.",4.0%,2.0,2.0,4.0,4.0,Schwarzbier,https://www.ratebeer.com/beer/conti-malzbier/78104/,Casa de Conti,120,-,Conti Malzbier,-,7.0,7.0,2.5,2.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_78104",2,2.51/5,-,2.0,2.0
3,"A Conti Bier Pilsen é uma cerveja clara de alto padrão de qualidade, leve, com médio teor alcoólico (4,7% vol.). Sabor marcante e aroma extremamente agradável, e uma espuma consistente, cremosa e saborosa.",4.7%,2.0,2.0,2.5555555555555554,2.0,Pale Lager,https://www.ratebeer.com/beer/conti-pilsen/42463/,Casa de Conti,141,-,Conti Pilsen,2,6.444444444444445,6.0,2.111111111111111,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_42463",8,1.87/5,27,2.7777777777777777,2.0
4,No description available,5.5%,2.0,2.0,3.0,2.5,Premium Lager,https://www.ratebeer.com/beer/conti-premium/164667/,Casa de Conti,165,-,Conti Premium,-,7.666666666666667,7.5,2.1666666666666665,2.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_164667",6,2.31/5,-,4.5,4.0
5,No description available,4.4%,3.0,2.0,4.333333333333333,5.0,Pale Lager,https://www.ratebeer.com/beer/conti-zero-grau/548668/,Casa de Conti,132,-,Conti Zero Grau,-,10.333333333333334,10.0,2.6666666666666665,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_548668",3,2.53/5,-,5.666666666666667,5.0
6,Famosa cerveja espanhola fabricada no Brasil pela Conti.,-,3.0,3.0,6.0,6.0,Pale Lager,https://www.ratebeer.com/beer/estrella-galicia-brasil/582876/,Casa de Conti,-,-,Estrella Galicia Brasil,-,10.0,10.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_582876",1,2.94/5,-,7.0,7.0
7,Brewed by Casa de Conti for Bier & Wein Importadora. http://www.cervejapaulistania.com.br/Cerveja_Paulistania/Home.html,4.8%,2.7,3.0,4.6,4.5,Premium Lager,https://www.ratebeer.com/beer/paulistenia/115054/,Casa de Conti,144,-,Paulistânia,8,9.3,9.0,2.5,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_115054",26,2.40/5,26,4.5,4.5
8,"Idealizada pela Bier & Wein Importadora - Pioneira em cervejas especiais desde 1993 - a Paulistânia Escura é uma cerveja de baixa fermentação, do estilo Dunkel, produzida com um blend de quatro maltes importados e lúpulos exclusivos. O resultado é uma cerveja naturalmente escura, refrescante, com notas tostadas lembrando café e chocolate e suave amargor. Harmoniza com churrasco, feijoada, assados, embutidos, bem como queijos duros ou defumados e sobremesas à base de chocolate. Brewed by Casa de Conti for Bier & Wein Importadora. http://www.cervejapaulistania.com.br/Cerveja_Paulistania/Home.html",5.6%,3.3,3.0,6.1,6.0,Dunkel/Tmavý,https://www.ratebeer.com/beer/paulistenia-escura/139105/,Casa de Conti,168,-,Paulistânia Escura,35,11.6,11.5,2.9,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_139105",14,2.95/5,48,5.7,6.0
9,No description available,6.2%,3.4,3.0,5.6,5.5,Amber Lager/Vienna,https://www.ratebeer.com/beer/paulistenia-vermelha/193521/,Casa de Conti,186,-,Paulistânia Vermelha,30,11.0,11.5,2.8,2.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_193521",13,2.94/5,72,5.7,6.0
10,No description available,4.6%,2.3333333333333335,2.0,3.3333333333333335,2.0,Pilsener,https://www.ratebeer.com/beer/samba-pilsen/97102/,Casa de Conti,138,-,Samba Pilsen,-,7.0,6.0,2.3333333333333335,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_97102",3,2.43/5,-,3.3333333333333335,3.0
0,"Cerveja escura tipo Porter. Produzida com maltes especiais, lúpulos da Alemanha da espécie Hallertau Magnum e da República Tcheca da espécie Saaz, água, fermento e café Conilon (Coffea Canephora). Cerveja com boa formação e manutenção de espuma, aroma de malte torrado e café, amargor suave e equilibrado e de sabor complexo com notas de caramelo e café. Harmoniza com carne vermelha, queijos forte e com sobremesas a base de chocolate ou café.",4.5%,3.5,3.5,3.5,3.5,Porter,https://www.ratebeer.com/beer/casa-do-cervejeiro-robusta/194977/,Casa do Cervejeiro,135,-,Casa do Cervejeiro Robusta,-,9.0,9.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_194977",2,2.65/5,-,4.5,4.5
0,"A Abáris Lager foi inspirada no estilo Viena, que originou-se na capital austríaca de mesmo nome. De cor avermelhada, a cerveja feita nesse estilo tem corpo médio e um sabor suave e adocicado devido ao uso de malte tipo Viena. Apresenta um amargor leve e em equilíbrio com o malte. Para trazer a você a melhor versão dessa cerveja clássica, a Abáris Lager segue fielmente a tradição germânica, usando somente ingredientes importados da Alemanha. Seguindo a Lei de Pureza da Cerveja de 1516, também conhecida como Reinheitsgebot, usamos somente água, malte de cevada, lúpulo e levedura.",5.0%,2.0,2.0,3.0,3.0,Amber Lager/Vienna,https://www.ratebeer.com/beer/ab-aris-lager/366572/,Cerveja Artesanal Abáris,150,-,Abáris Lager,-,8.0,8.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_366572",1,2.70/5,-,4.0,4.0
0,"Novo lançamento da Cerveja Benedith. A Rota do Cerrado é uma cerveja do estilo India Pale Ale, de cor acobreada, sabores e aromas cítricos e caramelados. Estilo de cerveja de amargor intenso e alto teor alcoolico (7%), inventado pelso ingleses. A alta carga de lúpulos e teor alcoolico elevado concedia a cerveja maior estabilidade para que suportasse as viagens de navio da Inglaterra até as colônias nas Índias. Gostariamos de agradecer e parabenizar o Rafael Sanzio do Bazar Gourmett (nosso consumidor e revendedor) pelo ótimo trabalho na criação do rótulo e também da campanha da Cerveja Rota do Cerrado. Saúde e Caneca Cheia.",7.0%,4.0,4.0,8.0,8.0,India Pale Ale (IPA),https://www.ratebeer.com/beer/benedith-rota-do-cerrado/193656/,Cerveja Artesanal Benedith,210,-,Benedith Rota do Cerrado,-,16.0,16.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_193656",Ratings,-/5,-,8.0,8.0
0,"Cerveja 100% natural elaborada com malte, lúpulos e fermento importados. Utiliza processo Europeu de fermentação o que proporciona sedimentação da levedura no fundo da garrafa. Não possui componentes quimicos em sua formulação. Tipo Ale esta cerveja se destaca pelo amargor dos lúpulos em sua receita conferindo à mesma um toque inglês. Garrafas de 500ml.",6.0%,3.0,3.0,7.0,7.0,Amber Ale,https://www.ratebeer.com/beer/cerveja-jg/80696/,Cerveja Artesanal,180,-,Cerveja JG,-,10.0,10.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_80696",2,2.86/5,-,6.5,6.5
